"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
3,NA,0.157003748809665,NA,1.17,"11","1","SS11-448307",2003,0.6
4,0.157003748809665,0.405465108108164,1.17,1.5,"11","1","SS11-448307",2004,0.68
5,0.405465108108164,0.371563556432483,1.5,1.45,"11","1","SS11-448307",2005,0.81
6,0.371563556432483,0.385262400790645,1.45,1.47,"11","1","SS11-448307",2006,0.776
7,0.385262400790645,NA,1.47,NA,"11","0","SS11-448307",2007,NA
3,NA,0.0769610411361284,NA,1.08,"11","1","SS11-448338",2003,0.6
4,0.0769610411361284,0.198850858745165,1.08,1.22,"11","1","SS11-448338",2004,0.66
5,0.198850858745165,0.22314355131421,1.22,1.25,"11","1","SS11-448338",2005,0.59
6,0.22314355131421,0.165514438477573,1.25,1.18,"11","1","SS11-448338",2006,0.573
7,0.165514438477573,0.151862349309246,1.18,1.164,"11","1","SS11-448338",2007,1.484
8,0.151862349309246,0.336472236621213,1.164,1.4,"11","1","SS11-448338",2008,1
9,0.336472236621213,0.657520002916794,1.4,1.93,"11","1","SS11-448338",2009,1
10,0.657520002916794,NA,1.93,NA,"11","0","SS11-448338",2010,NA
3,NA,0.444685821261446,NA,1.56,"11","1","SS11-448345",2003,0.87
4,0.444685821261446,0.470003629245736,1.56,1.6,"11","1","SS11-448345",2004,1.03
5,0.470003629245736,0.470003629245736,1.6,1.6,"11","1","SS11-448345",2005,1.97
6,0.470003629245736,0.262364264467491,1.6,1.3,"11","1","SS11-448345",2006,0.844
7,0.262364264467491,NA,1.3,NA,"11","0","SS11-448345",2007,NA
3,NA,0.357674444271816,NA,1.43,"11","1","SS11-448369",2003,0.76
4,0.357674444271816,0.470003629245736,1.43,1.6,"11","1","SS11-448369",2004,0.89
5,0.470003629245736,0.482426149244293,1.6,1.62,"11","1","SS11-448369",2005,0.95
6,0.482426149244293,0.438254930931155,1.62,1.55,"11","1","SS11-448369",2006,0.91
7,0.438254930931155,0.418710334858185,1.55,1.52,"11","1","SS11-448369",2007,0.958
8,0.418710334858185,0.667829372575655,1.52,1.95,"11","1","SS11-448369",2008,1.2
9,0.667829372575655,0.717839793150317,1.95,2.05,"11","1","SS11-448369",2009,1.47
10,0.717839793150317,0.78845736036427,2.05,2.2,"11","1","SS11-448369",2010,1.74
3,NA,0.22314355131421,NA,1.25,"11","1","SS11-448376",2003,1
4,0.22314355131421,0.364643113587909,1.25,1.44,"11","1","SS11-448376",2004,1.05
5,0.364643113587909,0.0953101798043249,1.44,1.1,"11","1","SS11-448376",2005,1.08
6,0.0953101798043249,0.392042087776024,1.1,1.48,"11","1","SS11-448376",2006,1.033
7,0.392042087776024,-0.0408219945202552,1.48,0.96,"11","1","SS11-448376",2007,0.993
8,-0.0408219945202552,0.165514438477573,0.96,1.18,"11","1","SS11-448376",2008,1.1
9,0.165514438477573,-0.162518929497775,1.18,0.85,"11","1","SS11-448376",2009,1.4
10,-0.162518929497775,NA,0.85,NA,"11","0","SS11-448376",2010,NA
3,NA,0.482426149244293,NA,1.62,"11","1","SS11-448383",2003,1
4,0.482426149244293,0.693147180559945,1.62,2,"11","1","SS11-448383",2004,1.05
5,0.693147180559945,0.810930216216329,2,2.25,"11","1","SS11-448383",2005,1.05
6,0.810930216216329,0.765467842139571,2.25,2.15,"11","1","SS11-448383",2006,1.022
7,0.765467842139571,0.717839793150317,2.15,2.05,"11","1","SS11-448383",2007,1.13
8,0.717839793150317,0.8754687373539,2.05,2.4,"11","1","SS11-448383",2008,1.4
9,0.8754687373539,0.693147180559945,2.4,2,"11","1","SS11-448383",2009,1.67
10,0.693147180559945,1.16315080980568,2,3.2,"11","1","SS11-448383",2010,2.04
3,NA,-0.105360515657826,NA,0.9,"11","1","SS11-448390",2003,0.5
4,-0.105360515657826,-0.105360515657826,0.9,0.9,"11","1","SS11-448390",2004,0.66
5,-0.105360515657826,-0.356674943938732,0.9,0.7,"11","1","SS11-448390",2005,0.55
6,-0.356674943938732,NA,0.7,NA,"11","0","SS11-448390",2006,NA
3,NA,0.364643113587909,NA,1.44,"11","1","SS11-448581",2003,0.75
4,0.364643113587909,0.444685821261446,1.44,1.56,"11","1","SS11-448581",2004,1.15
5,0.444685821261446,0.512823626428664,1.56,1.67,"11","1","SS11-448581",2005,1.15
6,0.512823626428664,0.500775287912489,1.67,1.65,"11","1","SS11-448581",2006,1.171
7,0.500775287912489,0.72270598280149,1.65,2.06,"11","1","SS11-448581",2007,1.5
8,0.72270598280149,0.76080582903376,2.06,2.14,"11","1","SS11-448581",2008,2.2
9,0.76080582903376,0.774727167552368,2.14,2.17,"11","1","SS11-448581",2009,2.57
10,0.774727167552368,1.04380405217311,2.17,2.84,"11","1","SS11-448581",2010,2.7
