UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS02-433709,2012,2,23,32,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433709,2013,2,23,33,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,T,
SS02-433709,2014,2,23,34,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433709,2015,2,23,35,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS02-433709,2016,2,23,35,3,6,32,<1,214,Mimosa eurycarpa,3.42,14.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437103,2003,4,10,10,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,1.78,0.57,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.57,0.007974245727745,79.7424572774472,0.255175863287831,32,,S,T,c/ rebrot. chico mto.
SS04-437103,2004,4,10,11,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,1.77,0.78,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.78,0.014932382581594,149.32382581594,0.477836242611008,32,,S,T,
SS04-437103,2005,4,10,12,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,2,0.67,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.67,0.01101766361091,110.176636109098,0.352565235549115,32,,S,T,1 dap mto de 0.56
SS04-437103,2006,4,10,13,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,2.02,0.652,,,,,,,,,,,,,,,,,,,,,,,,0.652,0.652,0.010433621901653,104.336219016534,0.333875900852909,32,,S,T,
SS04-437103,2007,4,10,14,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,1.92,0.831,,,,,,,,,,,,,,,,,,,,,,,,0.831,0.831,0.01694891690981,169.489169098095,0.542365341113905,32,,S,T,
SS04-437103,2008,4,10,15,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.02454369260617,245.436926061703,0.785398163397448,32,,,,
SS04-437103,2009,4,10,16,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,1,1.78,0.94,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.94,0.021686806786812,216.86806786812,0.693977817177985,32,,,,
SS04-437103,2010,4,10,16,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437103,2011,4,10,18,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437103,2012,4,10,19,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,Hay un nopal que no alcanza
SS04-437103,2013,4,10,20,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437103,2014,4,10,21,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437103,2015,4,10,22,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
