RUID,UID,Census,Set,SubSet,PlotNum,PlotCode,AbYr,PlotAge,Tra,Qua,Crit,Sample,Tag,Species,TaxRL,PosX,PosY,Sup,CAR,RecrYr,DeadYr,ExcYr,RincYr,NfouYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales
13312212,133122,2012,MatCan,Phy,MP04,LE1,Mature,#VALUE!,3,1,B,375,Y424,Mimosa eurycarpa,S,3.88,2.53,1,,,,,,,5.12,1.5,2.89,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,13.2025431267111,0.0352067816712296,3.40470103832794,90.792027688745,26.6666666666667,0,0,1,Incluir desde 2008.
21789712,217897,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,200,Mimosa eurycarpa,S,0.26,1.8,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21771212,217712,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,1,C,500,186,Mimosa eurycarpa,S,1.46,4.99,1,,,2016,,,,5.55,2.2,3.6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,78.5398163397448,0.15707963267949,6.22035345410779,124.407069082156,20,0,0,1,
21760612,217606,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,500,177,Mimosa eurycarpa,S,3.45,13.56,1,,,2013,,,,4.99,2.8,1.9,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,22.0618344098343,0.0441236688196686,4.17831822927442,83.5663645854885,20,0,0,1,
21759012,217590,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,3,3,B,375,381,Mimosa eurycarpa,S,0.3,13.6,1,,2005,2016,2015,,,4.02,0.86,1.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,7.06858347057703,0.0188495559215388,1.02667247919314,27.3779327784838,26.6666666666667,0,0,1,
21842912,218429,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,1,C,500,285,Mimosa eurycarpa,S,4.63,1.3,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21811512,218115,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,3,B,500,244,Mimosa eurycarpa,S,0.85,11.65,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
21795812,217958,2012,MatCan,NA,SC05,SEL,Mature,#VALUE!,4,4,A,500,241,Mimosa eurycarpa,S,2.2,17.82,1,,,2016,,,,6.3,4.06,3.15,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,12.6,124.689812420979,0.249379624841958,10.04445711169,200.889142233799,20,0,0,1,
12074513,120745,2013,MatCan,Phy,MP02,ISA,Mature,#VALUE!,1,1,C,500,A47,Mimosa eurycarpa,S,4.1,3.05,1,,2012,2016,2015,,,4.2,6.1,6.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6,105.683176866761,0.211366353733521,31.6201300583813,632.402601167625,20,0,0,1,
12226213,122262,2013,MatCan,Phy,MP02,ISA,Mature,#VALUE!,5,2,B,500,1142,Mimosa eurycarpa,S,1.92,6.2,1,,,2016,,,,6.4,3.4,4.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,12.1,114.99014510302,0.229980290206041,12.2836272755361,245.672545510722,20,0,0,1,
